"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0139666666666667,0.382,0
"2.5%",0.0114083333333333,0.359675,0
"50%",0.0136666666666667,0.3825,0
"97.5%",0.0165916666666667,0.402775,0
