"","tested","kBET.pvalue.test","kBET.pvalue.null"
"1",1,6.16184880897208e-12,0.71689662702872
"2",1,0.0340433439594364,0.597472947515233
"3",1,1.11834531080213e-07,0.702281403800752
"4",1,0,0.847643010925502
"5",1,6.87297111390262e-06,0.653716525354616
"6",1,0,0.544164049588207
"7",1,0,0.70079594479082
"8",1,0,0.667781600422788
"9",1,0,0.741492411120417
"10",1,0,0.472793672706223
"11",1,0,0.76259418106695
"12",1,4.09672296086683e-14,0.494642089797136
"13",1,0,0.553175714506754
"14",1,0,0.546300239775031
"15",1,1.11022302462516e-16,0.829475468834931
"16",1,0,0.565790980945359
"17",1,3.69582142667468e-11,0.697548093644804
"18",1,1.12577624999943e-09,0.534064217956461
"19",1,0,0.651532460062143
"20",1,0,0.733676675863179
"21",1,0.0842381470278255,0.804489609074994
"22",1,0.0981040553598681,0.641712088082378
"23",1,1.11022302462516e-16,0.647640855909788
"24",1,1.3222220778264e-06,0.633520223403689
"25",1,0,0.507015071419738
"26",1,0,0.569019661665484
"27",1,0,0.416587013459622
"28",1,1.11022302462516e-16,0.602268021102818
"29",1,7.11403046959047e-05,0.793734958415638
"30",1,0,0.809418813553201
"31",1,0,0.722206309585038
"32",1,9.76889702686279e-07,0.573711508811385
"33",1,0.115979808211044,0.402182752760927
"34",1,0,0.506727486692047
"35",1,4.7839510131098e-12,0.549855157016266
"36",1,0,0.668016081871541
"37",1,0,0.882638275794927
"38",1,0,0.539066441761999
"39",1,0,0.583172682028258
"40",1,0,0.487940006217529
"41",1,0,0.493509344328895
"42",1,0,0.340443131661195
"43",1,0,0.656051986549582
"44",1,7.17061400035135e-06,0.698604696789532
"45",1,0.074079808560034,0.446794043980004
"46",1,2.76223488526739e-13,0.584396457648123
"47",1,0,0.564137654134771
"48",1,0,0.683787200456141
"49",1,2.46836462192146e-06,0.693061508214557
"50",1,0,0.647419506232464
"51",1,0.265965542859784,0.643262632431342
"52",1,0,0.573859022675695
"53",1,0,0.627320217041292
"54",1,0,0.593903268199357
"55",1,0,0.70177411267166
"56",1,1.27675647831893e-14,0.554225592258388
"57",1,0,0.777837844131179
"58",1,0.443641588023585,0.67999992979489
"59",1,0,0.650553109748403
"60",1,0.513628004167608,0.479576978838808
"61",1,0.0118945332137604,0.650422717144614
"62",1,0,0.349616421595776
"63",1,0.035200488947234,0.629579989496516
"64",1,0,0.620483013756546
"65",1,0,0.694210781695755
"66",1,3.02209169313894e-05,0.72128654497787
"67",1,9.23150444975818e-13,0.642934159430855
"68",1,0,0.562132064706506
"69",1,0,0.386484398477294
"70",1,4.65970539931249e-09,0.626467692362639
"71",1,7.29724392023456e-09,0.599599259112438
"72",1,0,0.526460657967822
"73",1,0,0.67549129648502
"74",1,0.0051625340759478,0.627493574266301
"75",1,0,0.678863305346783
"76",1,6.07786425143031e-05,0.340630094690394
"77",1,0,0.449233918827
"78",1,1.11022302462516e-16,0.460763195294768
"79",1,5.55111512312578e-16,0.691648533431554
"80",1,0,0.89794332352418
"81",1,0,0.576352498765848
"82",1,4.50353321856944e-07,0.545525759111157
"83",1,0,0.560796538554172
"84",1,0,0.473069693499944
"85",1,0,0.839590698917992
"86",1,0.00499045580806934,0.58519681880666
"87",1,0,0.810022854633781
"88",1,0.00449504094728392,0.77819949874589
"89",1,0,0.744349910437347
"90",1,1.62428070993315e-10,0.732647665896503
"91",1,1.11022302462516e-16,0.462548626874774
"92",1,0,0.594807351323927
"93",1,1.42762804733465e-06,0.437889430154499
"94",1,0,0.876168406350521
"95",1,2.22044604925031e-16,0.795517119731883
"96",1,9.19739869588154e-05,0.622526121729458
"97",1,0,0.269558800053756
"98",1,0,0.468626679264809
"99",1,0,0.563963775355244
"100",1,0,0.437917876701609
"101",1,2.30843566484396e-10,0.330232812748872
"102",1,0,0.678849703975238
"103",1,0.00257218719392094,0.715806262917726
"104",1,0,0.480331846000196
"105",1,0,0.663360653983688
"106",1,0,0.883376796623558
"107",1,0,0.247189630318049
"108",1,0,0.567652796402133
"109",1,0,0.551696862176392
"110",1,0.000290387352339438,0.723131322045215
"111",1,5.89428751894827e-05,0.574440481597416
"112",1,0.0497356439719677,0.507929120868858
"113",1,6.84897978775467e-07,0.553773515601968
"114",1,0,0.690838933767307
"115",1,0,0.488008833219612
"116",1,1.54498636106837e-12,0.658228603487554
"117",1,0,0.323691354705438
"118",1,3.05089287166993e-13,0.356011496942575
"119",1,0.763546660937668,0.591485085382949
"120",1,0,0.663707262940573
"121",1,0.712686877839477,0.450204741024962
"122",1,0,0.278380710864214
"123",1,4.59879023750887e-10,0.78905027620457
"124",1,1.11222142606948e-12,0.575940041115494
"125",1,8.88178419700125e-15,0.634501826460662
"126",1,0,0.50452899618474
"127",1,0,0.64388157857076
"128",1,0.00771159985839287,0.471255720768777
"129",1,1.22124532708767e-15,0.687270417460753
"130",1,0,0.830418933111962
"131",1,0,0.534611337241439
"132",1,0,0.695050752637065
"133",1,0,0.229668470215176
"134",1,0,0.741633448084034
"135",1,4.07422662274115e-09,0.434605622527328
"136",1,0,0.499108870019196
"137",1,0,0.319839486930286
"138",1,0.014359907868805,0.460072644067894
"139",1,0,0.382222000609706
"140",1,1.4432899320127e-15,0.543654947411613
"141",1,0,0.853319334192861
"142",1,0,0.515934279404558
"143",1,0,0.699896112092647
"144",1,1.32697490300426e-05,0.736714072254263
"145",1,1.67275197514583e-05,0.601847687296107
"146",1,0.000593968742469309,0.476034069677669
"147",1,0,0.701049147452023
"148",1,0,0.418958032875053
"149",1,0,0.568233129578167
"150",1,0.103965240168852,0.684759389697524
"151",1,4.93411887314554e-05,0.596014146115191
"152",1,0,0.434935229364848
"153",1,3.29361822702934e-05,0.758281789967286
"154",1,0,0.89214575946498
"155",1,0,0.856253670676569
"156",1,0,0.571169176566383
"157",1,0,0.386885127578482
"158",1,0,0.75984715073421
"159",1,0,0.621863169959413
"160",1,0,0.787589145473211
"161",1,0.943600346836559,0.717871979104405
"162",1,0,0.801225731100036
"163",1,0.000397919338914643,0.798305344004371
"164",1,0.0226554440161294,0.840084726660784
"165",1,0,0.552392777984074
"166",1,0,0.554944592379253
"167",1,0,0.489149614351535
"168",1,0,0.619614210781927
"169",1,3.89597887173743e-07,0.558680351403784
"170",1,0.493538097617406,0.835194014898646
"171",1,0,0.808086415779296
"172",1,7.7715611723761e-16,0.569530197755011
"173",1,8.07243161204951e-13,0.584720151259575
"174",1,1.11022302462516e-16,0.478480011508515
"175",1,0.509245944432786,0.474439974261334
"176",1,0,0.643586397444557
"177",1,0.814300003520912,0.548214257983937
"178",1,0.0436299492462006,0.363255158137115
"179",1,0,0.694000770501182
"180",1,0,0.519773780057583
"181",1,0,0.615594480079105
"182",1,0,0.609014082358394
"183",1,0,0.441714044607843
"184",1,0,0.65722664844501
"185",1,0,0.608649472246347
"186",1,0,0.63144558774083
"187",1,0,0.595350124278665
"188",1,1.11022302462516e-16,0.624973007456044
"189",1,6.00706287123831e-06,0.673283221218652
"190",1,0,0.737177154181173
"191",1,0.000100932260992836,0.538541136758746
"192",1,0,0.467648481346642
"193",1,0.000269882320609205,0.583929172088575
"194",1,0,0.735018328964804
"195",1,7.061018436616e-14,0.648014191972534
"196",1,0,0.597308278323388
"197",1,0,0.77596040995547
"198",1,6.83035594861714e-07,0.661732307847482
"199",1,1.70313477765305e-08,0.793675734616117
"200",1,0,0.743652543264795
"201",1,0,0.718480755235798
"202",1,0,0.443468768366158
"203",1,0,0.763357210968062
"204",1,0.794193328810553,0.588889672948849
"205",1,0,0.38841260433337
"206",1,0,0.631534415840637
"207",1,0,0.460369108108047
"208",1,0,0.505640672167176
"209",1,0,0.683868427124727
"210",1,0.066561689700707,0.601109078259249
"211",1,0.00436487435938038,0.569009890968206
"212",1,0,0.491609498603482
"213",1,0,0.593020102291073
"214",1,0,0.89728622641602
"215",1,0.0355592785941186,0.457346369700784
"216",1,0,0.795508925928045
"217",1,0,0.726058678056201
"218",1,1.7232939519829e-08,0.729168590748013
"219",1,0,0.577119510718694
"220",1,0.247103382950777,0.559941404840146
"221",1,0,0.627012816210309
"222",1,0,0.622550842037224
"223",1,0,0.569297427083899
"224",1,0.071926779354005,0.82204453166966
"225",1,0.00230905213741672,0.680559595051974
"226",1,2.43925990517369e-11,0.457461284324846
"227",1,0,0.530755414995845
"228",1,2.26485497023532e-14,0.770524525616563
"229",1,0.00947938382722635,0.754966230340253
"230",1,0,0.779157083542649
"231",1,0,0.646302051227621
"232",1,0,0.772976301094625
"233",1,0,0.53648518305874
"234",1,5.73335531780517e-05,0.657756386854046
"235",1,3.33950234132629e-09,0.613032237855535
"236",1,0.0190548105345469,0.5648046413616
"237",1,0.000382032045599501,0.643501184545837
"238",1,0,0.574027573568661
"239",1,0.701766189078079,0.553794473899458
"240",1,6.66133814775094e-15,0.548244553879156
"241",1,1.14830737030225e-07,0.833493951437968
"242",1,0,0.709127698675503
"243",1,0,0.539559285441767
"244",1,0,0.834833715435447
"245",1,0,0.781208084448058
"246",1,0,0.421596276986758
"247",1,4.44154713008516e-11,0.554067890805625
"248",1,0,0.469970916760956
"249",1,0,0.597496790709588
"250",1,0.140383651200349,0.552832406049679
"251",1,0,0.55018796912548
"252",1,0,0.578333930501932
"253",1,0,0.615896645540535
"254",1,0,0.820287772608195
"255",1,0.956195874743769,0.800844585280428
"256",1,0,0.813887150667555
"257",1,1.91192623955061e-08,0.763534709265006
"258",1,2.44249065417534e-12,0.629862122324718
"259",1,4.06566663688768e-05,0.742380043763391
"260",1,0.22587891243818,0.551532324811388
"261",1,0.00186793182151379,0.552381676854267
"262",1,0,0.631566759892561
"263",1,0,0.476109235863068
"264",1,0,0.494090600426583
"265",1,0,0.579888159325444
"266",1,2.12503349694693e-06,0.447284182997861
"267",1,0,0.604314010816785
"268",1,5.81001821398086e-05,0.393941983552908
"269",1,3.70539001937065e-06,0.619036332138956
"270",1,1.90669457778014e-07,0.532425671782472
"271",1,0.100132959792253,0.716118569199013
"272",1,0,0.595287222276763
"273",1,0,0.538991721334387
"274",1,9.15032951631645e-08,0.66802848715546
"275",1,0.127914359281032,0.468773634539568
