"","tested","kBET.pvalue.test","kBET.pvalue.null"
"1",1,9.64117674584486e-12,0.740437679029645
"2",1,0,0.512402010046507
"3",1,0.00149657927227653,0.606175252201781
"4",1,0,0.744017200381445
"5",1,0,0.451139196916662
"6",1,0,0.676603907442781
"7",1,2.38199101554315e-07,0.42832510013571
"8",1,0,0.871115979052774
"9",1,8.88178419700125e-16,0.911188518800236
"10",1,4.44089209850063e-14,0.180809304589702
"11",1,0,0.657832878118472
"12",1,0,0.61113429392755
"13",1,7.00450808466258e-12,0.669895507200446
"14",1,0,0.343815097071259
"15",1,4.60597704421417e-09,0.618821573984899
"16",1,0,0.523215556316393
"17",1,0,0.422979557778097
"18",1,0.0194043820808455,0.546545552414309
"19",1,0,0.653802218932408
"20",1,2.99538172043867e-13,0.0526781702637028
"21",1,9.97646409928166e-13,0.741460946747554
"22",1,0,0.583797127713656
"23",1,2.5521951929619e-07,0.762266554999678
"24",1,0,0.552627915334839
"25",1,6.03825607292663e-07,0.744256446662078
"26",1,1.24104060361674e-11,0.805602251279924
"27",1,0.256058384893199,0.472902349426711
"28",1,5.77315972805081e-15,0.640356794316107
"29",1,0,0.604706602647837
"30",1,0.00334665624790065,0.550280804047446
"31",1,0,0.684417669206472
"32",1,0,0.797980069780339
"33",1,2.03851380220499e-11,0.561572166642122
"34",1,0,0.627788685342478
"35",1,1.90845483860613e-09,0.745632447043579
"36",1,0,0.726706931685012
"37",1,0,0.269268504513688
"38",1,0,0.666269079830169
"39",1,0,0.546768023254707
"40",1,4.77395900588817e-15,0.629829486903912
"41",1,0.0424995817913858,0.556399441550074
"42",1,8.65973959207622e-15,0.877918383420756
"43",1,0,0.537696893399991
"44",1,0,0.547708513699319
"45",1,0,0.777181965294832
"46",1,0,0.787333105397514
"47",1,0,0.470366002479034
"48",1,4.18665102586147e-12,0.307897628475905
"49",1,0,0.710694864638341
"50",1,0,0.555568295068498
"51",1,0,0.778236300856711
"52",1,5.83755155325605e-10,0.759021704749622
"53",1,1.11022302462516e-16,0.599832282309725
"54",1,1.69786965598107e-08,0.42695425962205
"55",1,0,0.471934514076797
"56",1,0,0.513521742040793
"57",1,2.3671065108033e-12,0.741352245478441
"58",1,0,0.538440292889958
"59",1,0.00191298248695337,0.367592816564267
"60",1,7.96972077554692e-07,0.779462571102177
"61",1,0.0584889770685116,0.3532698502425
"62",1,0,0.547005101340213
"63",1,0,0.739486037842761
"64",1,1.4432899320127e-15,0.826067348539836
"65",1,6.66133814775094e-15,0.518799157786421
"66",1,0,0.463812237984809
"67",1,0,0.742205960315786
"68",1,0,0.848014245273258
"69",1,0,0.525095977923569
"70",1,0,0.320051112959688
"71",1,9.05436836617923e-11,0.588489247870552
"72",1,0,0.698884824331566
"73",1,8.19677659080753e-11,0.542316663557106
"74",1,2.55351295663786e-15,0.79687415115776
"75",1,4.99478236548612e-12,0.417193541769468
"76",1,1.11022302462516e-16,0.251006101444032
"77",1,5.02731589246963e-06,0.684206869072977
"78",1,0,0.610989966403007
"79",1,0,0.813502646109102
"80",1,0,0.713315669128343
"81",1,0,0.635343016322782
"82",1,0,0.8698613743532
"83",1,0,0.700547854307538
"84",1,9.44434919158965e-09,0.459894623312258
"85",1,6.74238442854858e-13,0.528576345191161
"86",1,5.14245523941526e-09,0.123110994729316
"87",1,4.54561943641352e-11,0.0592717669085498
"88",1,0,0.238830882897754
"89",1,3.44169137633799e-15,0.675326168914869
"90",1,4.67512850654828e-09,0.70619783120857
"91",1,0.00325885437695439,0.221615999696021
"92",1,0,0.670714465350171
"93",1,0,0.483257385402629
"94",1,0,0.647683337870973
"95",1,0,0.714226962272711
"96",1,0,0.61449033706258
"97",1,0,0.777135487829139
"98",1,0,0.599748256041597
"99",1,0,0.563400985778515
"100",1,2.14273043752655e-14,0.714223973429265
"101",1,0.00363315029314915,0.668380673183784
"102",1,0,0.607624466311014
"103",1,0,0.715666753307845
"104",1,0,0.6219066220585
"105",1,0,0.490236023342764
"106",1,1.09285125393654e-09,0.744266898329275
"107",1,4.54188442411407e-09,0.58054265015686
"108",1,0,0.750187266397846
"109",1,0,0.626286009059633
"110",1,0,0.668297299258381
"111",1,0,0.81205408761456
"112",1,7.62774334406302e-05,0.517536947277136
"113",1,0.00468077060278438,0.489059250358162
"114",1,0,0.518516175174408
"115",1,0,0.565356339008901
"116",1,0,0.520133326818199
"117",1,0.00336733481819884,0.472019569063665
"118",1,7.82258582493478e-05,0.50548834346038
"119",1,0.000706119650449866,0.465608076194172
"120",1,0,0.552621138485768
"121",1,0,0.866728924964302
"122",1,0,0.633165137097675
"123",1,1.39110944985532e-13,0.522406288184566
"124",1,0,0.568320210353113
"125",1,0,0.751161023589675
"126",1,2.05032163623775e-05,0.54371155689918
"127",1,0,0.838942788672461
"128",1,0,0.710384875391871
"129",1,0,0.381194946845985
"130",1,0,0.870054941278336
"131",1,1.11022302462516e-16,0.602700611534163
"132",1,0,0.376385443077565
"133",1,0,0.749330905044606
"134",1,0,0.557558246377318
"135",1,3.25134053014153e-09,0.373283907870612
"136",1,0.00411289021779704,0.501827917980035
"137",1,0,0.485642289739589
"138",1,0.00180613662795881,0.675311535467242
"139",1,3.47975866478167e-05,0.526138323719913
"140",1,0,0.6109218946388
"141",1,0,0.705000195102231
"142",1,0,0.702072015255892
"143",1,6.25115514907293e-11,0.671409015924941
"144",1,0,0.651818578608772
"145",1,0,0.687757058137729
"146",1,0,0.627038507496284
"147",1,0,0.51606164820505
"148",1,0,0.651957822181104
"149",1,0,0.585904768442975
"150",1,1.82420745176159e-12,0.26442739890624
"151",1,0,0.344202195517931
"152",1,6.02036214736312e-06,0.336651663942885
"153",1,0,0.695159268757757
"154",1,0.0874922812199405,0.309199095165175
"155",1,0,0.563231637695114
"156",1,0,0.555895469439267
"157",1,0,0.629424769227555
"158",1,5.55111512312578e-15,0.57856358218854
"159",1,3.53606033343112e-13,0.250768583855571
"160",1,6.24644780344852e-12,0.824200848160906
"161",1,0.00510289137777953,0.471320680401639
"162",1,0,0.537137080642308
"163",1,0,0.825479438392034
"164",1,0.000789343007802978,0.482520565861424
"165",1,0,0.741728949972703
"166",1,4.44089209850063e-16,0.740391237541078
"167",1,0,0.677773564451398
"168",1,0,0.469524976950034
