"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00581333333333333,0.6302,0
"2.5%",0.004075,0.61245,0
"50%",0.00583333333333333,0.6305,0
"97.5%",0.00733333333333333,0.64255,0
