"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00664666666666667,0.98342,0
"2.5%",0.005,0.98,0
"50%",0.00666666666666667,0.9835,0
"97.5%",0.00833333333333333,0.987,0
