"","kBET.expected","kBET.observed","kBET.signif"
"1",0.00633333333333333,0.757,0
"2",0.00533333333333333,0.745,0
"3",0.005,0.744,0
"4",0.00566666666666667,0.764,0
"5",0.007,0.77,0
"6",0.005,0.759,0
"7",0.005,0.767,0
"8",0.006,0.766,0
"9",0.00533333333333333,0.749,0
"10",0.00633333333333333,0.748,0
"11",0.00633333333333333,0.759,0
"12",0.00366666666666667,0.767,0
"13",0.005,0.751,0
"14",0.00433333333333333,0.761,0
"15",0.00533333333333333,0.745,0
"16",0.00433333333333333,0.768,0
"17",0.006,0.747,0
"18",0.005,0.763,0
"19",0.006,0.77,0
"20",0.006,0.755,0
"21",0.007,0.746,0
"22",0.00433333333333333,0.755,0
"23",0.00366666666666667,0.752,0
"24",0.00666666666666667,0.757,0
"25",0.00433333333333333,0.745,0
"26",0.00433333333333333,0.773,0
"27",0.00666666666666667,0.759,0
"28",0.00566666666666667,0.763,0
"29",0.00566666666666667,0.757,0
"30",0.005,0.758,0
"31",0.004,0.752,0
"32",0.00466666666666667,0.765,0
"33",0.00533333333333333,0.763,0
"34",0.00566666666666667,0.767,0
"35",0.00466666666666667,0.763,0
"36",0.00566666666666667,0.754,0
"37",0.00666666666666667,0.768,0
"38",0.00533333333333333,0.752,0
"39",0.00533333333333333,0.763,0
"40",0.00666666666666667,0.761,0
"41",0.005,0.762,0
"42",0.00566666666666667,0.76,0
"43",0.00533333333333333,0.747,0
"44",0.00633333333333333,0.745,0
"45",0.00633333333333333,0.751,0
"46",0.007,0.772,0
"47",0.00566666666666667,0.754,0
"48",0.006,0.773,0
"49",0.00533333333333333,0.73,0
"50",0.005,0.771,0
