"","tested","kBET.pvalue.test","kBET.pvalue.null"
"1",1,0,0.855019307873223
"2",1,0.00261418995131069,0.380133436268568
"3",1,0,0.656561798399363
"4",1,0,0.827778779944164
"5",1,4.82271111934551e-10,0.446871278599347
"6",1,0,0.524221651117001
"7",1,0,0.220342406672093
"8",1,0,0.863657724371796
"9",1,0,0.689752650991156
"10",1,0,0.667941165629631
"11",1,0,0.609304856745595
"12",1,0,0.529314264257697
"13",1,0,0.536703818433342
"14",1,1.05997397815694e-05,0.545343765039989
"15",1,0,0.713970021574896
"16",1,0,0.653420921009753
"17",1,3.60267754064836e-05,0.540740823790352
"18",1,0,0.623266730139267
"19",1,1.11022302462516e-16,0.656217715208379
"20",1,0,0.622505632667199
"21",1,0,0.779437002562599
"22",1,7.61215005395943e-06,0.411074116771026
"23",1,0,0.632806742197458
"24",1,0,0.481524358972277
"25",1,0.000490498785271187,0.524236664734254
"26",1,0,0.452547021012415
"27",1,0,0.46679999313566
"28",1,0,0.729824263982944
"29",1,0,0.715266303290599
"30",1,7.7715611723761e-16,0.62512279100911
"31",1,0,0.468224054871469
"32",1,0,0.676191001679249
"33",1,5.79177773509798e-05,0.5780186045245
"34",1,0,0.490396431306511
"35",1,0,0.522042215392531
"36",1,0,0.501646072379315
"37",1,0,0.946349534393483
"38",1,0,0.631182605833854
"39",1,0,0.459218265627981
"40",1,0,0.85324685869621
"41",1,0,0.744200360368084
"42",1,0,0.657872153638703
"43",1,0,0.732670035809974
"44",1,0,0.453153049375745
"45",1,0,0.870014559051351
"46",1,0,0.628735046459827
"47",1,0,0.687382206734458
"48",1,0,0.504613729257715
"49",1,3.79285491902692e-12,0.554897512259029
"50",1,0,0.771626402565765
"51",1,0,0.682514670922364
"52",1,1.59751025241572e-05,0.443242260799617
"53",1,0,0.608090827012494
"54",1,4.3300496521681e-10,0.472116957687152
"55",1,0.000344893180511452,0.565525801324711
"56",1,9.00390872971002e-14,0.446324523609227
"57",1,0,0.816838820382972
"58",1,1.73725478447295e-11,0.892433227699921
"59",1,0,0.746091257208384
"60",1,2.1094237467878e-15,0.503915011641183
"61",1,0,0.598550993786529
"62",1,0,0.606336726035929
"63",1,0,0.728751166610283
"64",1,0.0231213273166562,0.380560776385794
"65",1,7.24513681316097e-06,0.4962759758061
"66",1,8.99372132323606e-10,0.867459266602961
"67",1,0,0.566091378094538
"68",1,0,0.610311201766495
"69",1,0,0.617246562746154
"70",1,0,0.817857383413081
