"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00230666666666667,0.66586,0
"2.5%",0.000816666666666667,0.649225,0
"50%",0.00233333333333333,0.6655,0
"97.5%",0.00333333333333333,0.683,0
