"","tested","kBET.pvalue.test","kBET.pvalue.null"
"1",1,1.53133519642523e-07,0.408807596252872
"2",1,0.00164716130012299,0.425166779787206
"3",1,0.71818899627831,0.530099054456093
"4",1,2.28705943072782e-14,0.502050164170159
"5",1,5.58899573288585e-08,0.541413153210382
"6",1,0.040259285504475,0.319570991899035
"7",1,2.4535928844216e-14,0.683338061168984
"8",1,0,0.713884168248374
"9",1,0,0.238370367649907
"10",0,0,0
"11",1,4.9145576497267e-11,0.46218072454729
"12",1,0.183742995267952,0.420835678761081
"13",1,0.00394566201713009,0.419041772741459
"14",1,0.0177474262365369,0.744594225523915
"15",1,4.96269692007445e-14,0.43012530000195
"16",1,0.0669797795549602,0.384583121619261
"17",1,0.000867999013306919,0.72174191584438
"18",1,0.145054237018271,0.35347946333426
"19",1,3.33567868882056e-08,0.795887770219994
"20",1,0,0.647618449661865
"21",1,0.363322315101825,0.565813141488453
"22",1,0.0200631436647113,0.414401376642259
"23",1,0.490330222208076,0.498109716477367
"24",1,0.0118350337027616,0.458123416338435
"25",1,0.00340980412248115,0.429477500807702
"26",1,2.48924214574231e-11,0.821058928553315
"27",1,0.363322315101825,0.301901353229997
"28",1,0.684330260945056,0.569644555990893
"29",1,2.50416717584301e-07,0.614251677382434
"30",1,3.16104868641753e-05,0.624704553865969
"31",1,0,0.638370227369642
"32",1,7.64610597059345e-13,0.598892807317204
"33",1,0.0195799600346154,0.594591135799469
"34",1,0,0.630967390290145
"35",1,0.00621354338823332,0.429075868963231
"36",1,0,0.614251677382434
"37",1,1.79116440446325e-05,0.540023465803796
"38",1,5.11590769747272e-13,0.176477402868202
"39",1,0.525450296536218,0.580878625470188
"40",1,0.677631400066185,0.49553711270376
"41",1,8.70902651171068e-05,0.79804523627209
"42",1,1.41632261474456e-11,0.619327010393578
"43",1,0.815782137454724,0.778968116132606
"44",1,5.93542740194852e-05,0.549635128390844
"45",1,7.51054773928672e-12,0.657925780577094
"46",1,0.0544584818456753,0.55309709275477
"47",1,0.0106624809512067,0.64061302772688
"48",1,0,0.363754954259517
"49",1,0.000152502754861672,0.590879144134819
"50",1,0,0.44103594777089
"51",1,0.110875958832352,0.684916599014586
"52",1,0.930835276661149,0.610244484906169
"53",1,3.95028454391877e-12,0.31357342960638
"54",1,0.618538081898273,0.407858856554356
"55",1,6.75423128537744e-09,0.535967536232837
"56",1,0.255346920685852,0.328736750177907
"57",1,3.16647044140694e-08,0.498539900893944
"58",1,0,0.44367241007555
"59",1,0,0.331705987956517
"60",1,0.00934273903499505,0.584183255932613
"61",1,1.97473978280627e-08,0.416570451079506
"62",1,0.0134606175149162,0.532109392254055
"63",1,0.0544584818456753,0.69337576295758
"64",1,3.61189966824327e-11,0.508528601492354
"65",1,0.815782137454724,0.342256439300704
"66",1,0.00260920590911795,0.543363704376774
"67",1,0,0.510334222004983
"68",1,0.0173134761538707,0.629991418452321
"69",1,0.0683528594166368,0.298322085472464
"70",1,0.00468901119804355,0.581687435522387
"71",1,1.15148002244325e-10,0.594721587819257
"72",1,4.69767011691546e-05,0.5123126493452
"73",1,0.183742995267952,0.369303975381064
"74",1,0.13052307401956,0.342459148369971
"75",1,4.06203711444952e-07,0.47775031719733
"76",1,2.06068495600675e-12,0.604070204372574
"77",1,0,0.0872981476509344
"78",1,4.88536748904922e-05,0.581459872489006
"79",1,1.8212320540556e-11,0.605959839551545
"80",1,0.0118350337027616,0.545229459016011
"81",1,1.5147817000738e-08,0.472638605199276
"82",1,5.15784215893156e-07,0.431834526718765
"83",1,8.70902651171068e-05,0.671218535352777
"84",1,2.28705943072782e-14,0.385706054282863
"85",1,2.07212314917715e-06,0.322249133338718
"86",1,1.71891341050889e-05,0.74859884481664
"87",1,0.219139314505148,0.28142523639794
"88",1,1.27108146230626e-09,0.446767877166944
"89",1,1.97473978280627e-08,0.502829804595588
"90",1,0.0177474262365369,0.515940568403457
"91",0,0,0
"92",1,0.967205862195966,0.545260826077714
"93",0,0,0
"94",1,4.86453255454933e-09,0.622556668079398
"95",1,3.49720252756924e-14,0.64367025807948
"96",1,0,0.471311600428093
"97",1,0.00217526115251165,0.294001225278404
"98",1,0.745684136050138,0.752943600707105
"99",1,6.92585722665839e-05,0.33949278675939
"100",1,5.15784215893156e-07,0.702729306384735
"101",1,1.27108146230626e-09,0.537310272859619
"102",1,2.98770341800036e-10,0.605145516017134
"103",1,0.000428290974933354,0.386944918587522
"104",1,2.28705943072782e-14,0.838859740251796
"105",1,9.55382439826735e-10,0.513220262896307
"106",1,0.0121454788670964,0.396567513962597
"107",1,0.00217526115251165,0.482844036720589
"108",1,1.97473978280627e-08,0.444785913391113
"109",1,0,0.688691817742586
"110",1,0.0918670177810619,0.243644362428286
"111",1,1.86607543639639e-07,0.374452430788835
"112",1,0,0.658704084439197
"113",1,5.98294810871813e-06,0.87800150532883
"114",1,1.65044422573146e-10,0.523700226882484
"115",1,1.03242969728967e-11,0.357152524666519
"116",1,0.00253178321778613,0.32676355000475
"117",1,1.32975852551453e-11,0.382767828824278
