"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0190266666666667,0.65006,0
"2.5%",0.0166666666666667,0.638,0
"50%",0.0188333333333333,0.6495,0
"97.5%",0.021775,0.664775,0
